,fee,last_month,estimate_value,admin,name,trade_first_status,set_up,cumulative_value,grade,manager,scale,last_3_month,last_half_year,type,fund_id,trade_sencond_status,last_3_yesr,setup_date,unit_value,last_year
47,0.15%,11.74%,1.3087,国投瑞银基金,国投瑞银医疗保健混合,开放申购  ,82.66%,1.7680,jjpj4,张佳荣,7.36,6.07%,12.20%,混合型,523,开放赎回,32.28%,2014-02-25,1.2750,0.05%
48,0.15%,-0.74%,1.6042,华润元大基金,华润元大信息传媒科技混合,开放申购  ,61.10%,1.6110,jjpj4,袁华涛,0.84,1.77%,2.35%,混合型,522,开放赎回,-0.12%,2014-03-31,1.6110,11.10%
49,0.00%,0.32%,1.1689,招商基金,招商招钱宝货币A,限大额  (,16.19%,4.32%,jjpj,向霈,45.11,1.05%,2.11%,货币型,588,),10.99%,2014-03-25,4.3500%,4.23%
50,,-0.60%,1.0126,中银基金,中银聚利半年定开债,暂停申购  ,15.88%,1.0121,jjpj,陈玮,5.40,1.10%,0.64%,定开债券,632,暂停赎回,11.65%,2014-06-05,1.0121,3.23%
51,0.00%,0.28%,1.0630,圆信永丰基金,圆信永丰纯债C,开放申购  ,23.96%,1.2330,jjpj4,许燕,0.01,0.47%,0.85%,债券型,630,开放赎回,10.39%,2014-05-30,1.0630,3.20%
52,0.15%,6.75%,1.5876,景顺长城基金,景顺中小板创业板精选股票,开放申购  ,53.30%,1.5330,jjpj3,李孟海,5.05,6.31%,-4.55%,股票型,586,开放赎回,4.21%,2014-04-30,1.5330,-11.28%
53,0.15%,-6.30%,1.8417,大成基金,大成灵活配置混合,开放申购  ,123.89%,2.2010,jjpj4,王磊,2.98,-5.21%,0.06%,混合型,587,开放赎回,19.54%,2014-05-14,1.8010,4.95%
54,0.15%,-4.86%,1.5827,大成基金,大成高新技术产业股票,开放申购  ,56.60%,1.5660,jjpj,徐彦,2.85,-4.74%,6.17%,股票型,628,开放赎回,54.29%,2015-02-03,1.5660,22.82%
55,0.15%,-0.09%,1.1059,工银瑞信基金,工银绝对收益混合发起A,限大额  (,10.60%,1.1060,jjpj3,游凛峰,1.81,-0.81%,-0.72%,混合型,667,),4.64%,2014-06-26,1.1060,1.37%
56,0.15%,-1.99%,1.4079,国投瑞银基金,国投瑞银美丽中国混合,开放申购  ,81.06%,1.7670,jjpj4,董晗,3.79,-1.85%,-0.89%,混合型,663,开放赎回,33.94%,2014-06-24,1.3810,-0.89%
57,,-1.42%,1.3911,汇添富基金,汇添富双利债券C,开放申购  ,38.80%,1.3880,jjpj3,陈加荣,0.21,-0.22%,1.39%,债券型,692,开放赎回,11.40%,2014-06-18,1.3880,4.68%
58,0.15%,-0.38%,1.3299,诺安基金,诺安稳健回报灵活配置混合,开放申购  ,39.62%,1.3950,jjpj,吴博俊,0.18,0.30%,1.57%,混合型,714,开放赎回,12.33%,2014-09-15,1.3270,3.42%
59,0.07%,-4.63%,1.2608,国联安基金,国联安通盈混合A,限大额  (,31.65%,1.3064,jjpj5,薛琳,0.24,-4.13%,0.35%,混合型,664,),16.06%,2014-06-13,1.2534,4.19%
60,,0.36%,1.2203,民生加银基金,民生加银家盈理财月度E,限大额  ,15.42%,4.70%,jjpj,李文君,29.17,1.16%,2.25%,理财型,715,开放赎回,12.36%,2014-08-11,4.7170%,4.47%
61,0.00%,0.34%,1.2013,博时基金,博时现金收益货币B,暂停申购  (,14.55%,4.49%,jjpj,魏桢,156.23,1.08%,2.08%,货币型,665,),10.37%,2014-06-03,4.5940%,3.90%
62,,0.31%,1.0975,上投摩根基金,上投摩根天添宝货币B,开放申购  ,9.92%,4.17%,jjpj,孟晨波,10.34,1.06%,2.05%,货币型,713,开放赎回,8.88%,2014-11-25,4.2120%,4.04%
63,0.06%,0.28%,1.0700,圆信永丰基金,圆信永丰纯债A,开放申购  ,25.90%,1.2500,jjpj4,许燕,1.18,0.47%,0.94%,债券型,629,开放赎回,11.81%,2014-05-30,1.0700,3.48%
64,,0.81%,0.9919,长城基金,长城久盈纯债分级债券,封闭期  ,32.33%,1.02%,jjpj,蔡旻,10.10,1.85%,32.33%,债券型,768,封闭期  ,26.15%,2014-10-28,0.9920,-0.60%
65,0.06%,0.81%,0.9919,长城基金,长城久盈纯债分级债券B,暂停申购  ,37.39%,1.12%,jjpj,蔡旻,10.10,1.95%,37.39%,分级杠杆,770,暂停赎回,23.44%,2014-10-28,0.9920,2.27%
66,0.08%,0.60%,1.0119,上投摩根基金,上投岁岁盈定开债券B,暂停申购  ,0.40%,1.0120,jjpj,唐瑭,0.00,1.50%,2.12%,定开债券,765,暂停赎回,-3.71%,2014-08-28,1.0120,3.16%
67,0.00%,0.50%,1.0059,上投摩根基金,上投岁岁盈定开债券D,暂停申购  ,-0.10%,1.0060,jjpj,唐瑭,0.00,1.41%,1.82%,定开债券,766,暂停赎回,-3.92%,2014-08-28,1.0060,2.65%
68,0.15%,-5.77%,1.0745,华富基金,华富国泰民安灵活配置混合,开放申购  ,6.10%,1.0610,jjpj,龚炜,1.70,-3.98%,-3.37%,混合型,767,开放赎回,-3.72%,2015-02-04,1.0610,1.14%
69,0.00%,0.32%,1.5677,南方基金,南方理财金交易型货币A,限大额  (,11.41%,4.45%,jjpj,蔡奕奕,34.46,1.03%,2.02%,货币型,816,),10.13%,2014-12-05,4.4250%,4.04%
70,0.08%,-0.25%,1.1919,建信基金,建信稳定得利债券A,开放申购  ,19.10%,1.1910,jjpj,黎颖芳,0.69,1.36%,1.62%,债券型,875,开放赎回,15.30%,2014-12-02,1.1910,3.93%
71,,0.32%,1.0729,华安基金,华安现金宝货币A,限大额  ,4.39%,4.21%,jjpj,孙丽娜,0.22,1.08%,2.13%,货币型,873,开放赎回,--,2017-03-10,4.1230%,4.25%
72,0.00%,0.31%,1.0825,北信瑞丰,北信瑞丰宜投宝B,开放申购  ,11.03%,3.82%,jjpj,辇大吉,17.87,1.07%,2.11%,货币型,872,开放赎回,9.42%,2014-11-20,4.2100%,4.30%
73,0.00%,0.32%,0.9206,鑫元基金,鑫元半年定开债C,暂停申购  ,-2.89%,0.9788,jjpj,丁玥,0.08,1.33%,1.49%,定开债券,897,开放赎回,-8.56%,2014-12-02,0.9188,1.52%
74,,-3.45%,0.1997,博时基金,博时大中华亚太精选美元现汇,开放申购  ,5.57%,0.1998,jjpj,杨涛,2.76,4.41%,0.97%,QDII,927,开放赎回,1.64%,2014-12-03,0.1988,14.38%
75,0.15%,-5.90%,0.9962,中融基金,中融国企改革混合,开放申购  ,-1.20%,0.9880,jjpj,解静,1.27,-2.18%,0.71%,混合型,928,开放赎回,-18.28%,2014-12-16,0.9880,4.88%
76,0.00%,0.29%,1.0155,北信瑞丰,北信瑞丰宜投宝A,开放申购  ,10.13%,3.57%,jjpj,辇大吉,0.45,1.01%,1.99%,货币型,871,开放赎回,8.63%,2014-11-20,3.9570%,4.04%
77,,0.41%,1.0127,诺安基金,诺安瑞鑫定开债券,暂停申购  ,1.27%,1.0127,jjpj,潘飞,2.13,--,--,定开债券,521,暂停赎回,--,2017-12-28,1.0127,--
78,0.15%,-6.00%,1.4841,嘉实基金,嘉实全球互联网股票人民币,开放申购  ,45.80%,1.4580,jjpj,张丹华,23.13,-0.21%,-1.49%,QDII,988,开放赎回,--,2015-04-15,1.4580,25.58%
79,0.00%,-1.88%,0.9479,民生加银基金,民生加银新收益债券C,开放申购  ,-5.90%,0.9410,jjpj,杨林耘,0.29,1.51%,-0.84%,债券型,987,开放赎回,--,2015-12-29,0.9410,-1.67%
80,0.06%,-3.67%,1.1336,国投瑞银基金,国投瑞银新动力混合,限大额  (,25.08%,1.2370,jjpj,桑俊,0.67,2.33%,7.15%,混合型,1029,),23.84%,2015-02-04,1.1280,10.38%
81,0.15%,-3.59%,0.7270,太平基金,太平灵活配置,限大额  (,-27.50%,0.7250,jjpj,独孤南薰,16.06,-3.46%,2.26%,混合型,986,),-32.05%,2015-02-10,0.7250,6.31%
82,0.15%,-2.44%,0.7361,华安基金,华安物联网主题股票,开放申购  ,-28.00%,0.7200,jjpj,翁启森,12.51,-5.01%,-7.93%,股票型,1028,开放赎回,-28.00%,2015-03-17,0.7200,-6.86%
83,,0.33%,1.2643,诺安基金,诺安理财宝货币C,开放申购  ,10.91%,4.42%,jjpj,谢志华,0.02,1.04%,2.06%,货币型,1026,开放赎回,10.30%,2015-02-04,4.3990%,4.12%
84,0.00%,0.32%,1.1218,华夏基金,华夏现金宝货币A,限大额  (,19.79%,4.16%,jjpj,周飞,4.42,1.07%,2.07%,货币型,1077,),8.88%,2013-01-22,4.2650%,4.00%
85,0.12%,-5.32%,0.7576,前海开源基金,前海开源中证大农业指数增强,开放申购  ,-25.20%,0.7480,jjpj,付海宁,0.80,-6.73%,-2.86%,股票指数,1027,开放赎回,-25.27%,2015-02-13,0.7480,-5.20%
86,0.00%,0.34%,1.1881,华夏基金,华夏现金宝货币B,限大额  (,15.89%,4.40%,jjpj,周飞,2.62,1.13%,2.19%,货币型,1078,),8.19%,2013-01-22,4.5180%,4.25%
87,0.15%,0.10%,1.0646,申万菱信基金,申万菱信新能源汽车混合,开放申购  ,4.90%,1.0490,jjpj,孙琳,4.71,0.77%,1.16%,混合型,1156,开放赎回,--,2015-05-07,1.0490,14.64%
88,0.15%,-0.62%,1.1466,国联安基金,国联安睿祺灵活配置混合,开放申购  ,14.54%,1.1454,jjpj,侯慧娣,1.41,0.81%,13.92%,混合型,1157,开放赎回,--,2015-04-08,1.1454,10.88%
89,,-0.40%,1.2555,上海东方证券资产管理,东方红稳健精选混合A,暂停申购  ,24.90%,1.2490,jjpj,纪文静,6.32,2.29%,3.82%,混合型,1203,开放赎回,--,2015-04-17,1.2490,12.42%
90,,-1.90%,1.1382,建信基金,建信回报灵活配置混合,限大额  ,13.70%,1.1370,jjpj,牛兴华,7.89,-1.22%,0.53%,混合型,1253,开放赎回,--,2015-05-13,1.1370,4.60%
91,0.08%,-4.91%,1.1029,中海基金,中海进取收益混合,限大额  (,8.50%,1.0850,jjpj,许定晴,0.61,-1.81%,0.37%,混合型,1252,),--,2015-05-13,1.0850,3.33%
92,,0.31%,2.9590,天弘基金,天弘现金管家货币D,开放申购  ,8.76%,4.59%,jjpj,王登峰,3.12,0.98%,1.92%,货币型,1251,开放赎回,--,2015-05-05,5.0550%,3.81%
93,,-0.27%,1.0931,广发基金,广发安泰混合,暂停申购  ,9.20%,1.0920,jjpj,代宇,0.92,0.09%,-2.67%,混合型,1290,开放赎回,--,2015-05-14,1.0920,3.21%
94,,0.07%,1.3484,银华基金,银华汇利灵活配置混合A,开放申购  ,34.70%,1.3470,jjpj,哈默,12.71,1.35%,2.51%,混合型,1289,开放赎回,--,2015-05-14,1.3470,6.23%
95,,10.15%,1.1259,易方达基金,易方达沪深300医药ETF联接,开放申购  ,12.09%,1.1209,jjpj,余海燕,1.47,11.04%,--,联接基金,1344,开放赎回,--,2017-11-22,1.1209,--
96,0.00%,0.34%,1.3132,德邦基金,德邦如意货币,限大额  (,7.08%,4.50%,jjpj,张铮烁,34.97,1.04%,2.08%,货币型,1401,),--,2016-02-03,4.2330%,4.14%
97,,0.34%,1.1379,华安基金,华安现金宝货币B,限大额  ,4.65%,4.47%,jjpj,郑可成,62.26,1.14%,2.25%,货币型,874,开放赎回,--,2017-03-10,4.3740%,4.50%
98,0.00%,-0.70%,1.1866,安信基金,安信鑫安得利混合C,开放申购  ,18.54%,1.1854,jjpj,庄园,6.91,0.94%,3.87%,混合型,1400,开放赎回,--,2015-06-05,1.1854,8.04%
99,0.00%,-0.55%,0.7432,天弘基金,天弘中证环保产业C,开放申购  ,-27.26%,0.7274,jjpj,张子法,0.19,-9.08%,-12.54%,股票指数,1591,开放赎回,--,2015-07-16,0.7274,-13.15%
100,,0.55%,1.0891,华安基金,华安添颐养老混合,限大额  ,8.80%,1.0880,jjpj,孙丽娜,10.08,2.26%,1.97%,混合型,1485,开放赎回,--,2015-06-16,1.0880,4.92%
101,0.15%,0.50%,1.0103,华富基金,华富健康文娱灵活配置混合,开放申购  ,-0.30%,0.9970,jjpj,陈启明,0.48,-1.09%,2.57%,混合型,1563,开放赎回,--,2015-08-04,0.9970,2.15%
102,0.15%,0.00%,1.0045,国泰基金,国泰智能汽车股票,开放申购  ,-2.40%,0.9760,jjpj,周伟锋,9.16,0.00%,-7.22%,股票型,1790,开放赎回,--,2017-08-01,0.9760,--
103,,1.06%,0.9742,鑫元基金,鑫元合享分级债券B,暂停申购  ,11.87%,1.1187,jjpj,颜昕,7.05,2.30%,0.50%,分级杠杆,815,暂停赎回,11.54%,2014-10-15,0.9743,1.28%
104,0.10%,-0.59%,1.0021,中银基金,中银新机遇混合A,开放申购  ,14.63%,1.1410,jjpj,苗婷,6.93,0.89%,2.87%,混合型,2057,开放赎回,--,2015-11-19,1.0010,7.12%
105,0.15%,-1.76%,1.2529,嘉实基金,嘉实逆向策略股票,限大额  (,22.90%,1.2290,jjpj,郭东谋,16.62,-4.95%,1.74%,股票型,985,),3.36%,2015-02-02,1.2290,5.22%
106,0.15%,-7.14%,0.8455,北信瑞丰,北信瑞丰平安中国,开放申购  ,-16.80%,0.8320,jjpj,于军华,0.64,-15.02%,-20.76%,混合型,1154,开放赎回,--,2015-05-05,0.8320,-24.50%
107,1.50%,-0.36%,1.1187,上海东方证券资产管理,东方红领先精选混合,暂停申购  (,23.81%,1.2320,jjpj,纪文静,7.56,2.96%,5.91%,混合型,1202,),--,2015-04-17,1.1120,13.90%
108,0.15%,2.94%,0.9950,大成基金,大成趋势回报灵活配置混合,开放申购  ,-1.90%,0.9810,jjpj,魏庆国,1.04,3.15%,5.14%,混合型,2383,开放赎回,--,2016-03-22,0.9810,0.72%
109,0.15%,-5.14%,0.8972,摩根士丹利华鑫基金,大摩量化多策略股票,开放申购  ,-11.40%,0.8860,jjpj,夏青,6.68,-4.63%,-7.23%,股票型,1291,开放赎回,--,2015-06-02,0.8860,-15.05%
110,0.15%,-0.27%,1.1152,兴业基金,兴业聚全灵活配置混合,开放申购  ,11.40%,1.1140,jjpj,熊伟,12.82,0.27%,2.86%,混合型,2659,开放赎回,--,2016-06-30,1.1140,6.10%
111,,-2.46%,1.0531,招商基金,招商丰和混合C,开放申购  ,11.29%,1.1130,jjpj,余芽芳,3.10,-0.48%,3.62%,混合型,2541,开放赎回,--,2016-08-11,1.0330,8.16%
112,0.00%,2.80%,1.0287,招商基金,招商安裕保本混合C,开放申购  ,--,1.0280,jjpj,康晶,2.15,0.49%,1.08%,保本型  ,2658,开放赎回,2.80%,2016-06-20,1.0280,1.38%
113,,1.90%,0.1776,华夏基金,华夏移动互联混合美元现钞,开放申购  ,19.45%,0.1769,jjpj,刘平,1.61,1.61%,0.17%,QDII,2893,开放赎回,--,2016-12-14,0.1769,17.78%
114,0.00%,0.36%,0.9637,华夏基金,华夏天利货币A,限大额  (,5.29%,4.94%,jjpj,曲波,2.90,1.11%,2.06%,货币型,2894,),--,2016-10-13,5.4620%,3.99%
115,0.10%,-0.22%,1.0285,安信基金,安信新成长混合A,限大额  (,7.80%,1.0774,jjpj,陈一峰,4.09,1.03%,2.41%,混合型,3345,),--,2016-09-29,1.0274,6.25%
116,,0.55%,1.0939,广发基金,广发集富纯债A,开放申购  ,17.73%,1.1760,jjpj,王予柯,0.84,1.67%,2.29%,债券型,3039,开放赎回,--,2017-01-13,1.0940,17.37%
117,0.00%,-0.22%,1.0255,安信基金,安信新成长混合C,限大额  (,7.50%,1.0744,jjpj,陈一峰,2.16,1.00%,2.31%,混合型,3346,),--,2016-09-29,1.0244,6.06%
118,,0.59%,1.0159,广发基金,广发集富纯债C,开放申购  ,2.20%,1.0220,jjpj,王予柯,0.00,1.70%,1.50%,债券型,3040,开放赎回,--,2017-01-13,1.0160,1.90%
119,,1.16%,0.9561,前海联合,新疆前海联合添鑫债券A,开放申购  ,-4.38%,0.9553,jjpj,张雅洁,4.73,1.98%,0.28%,债券型,3471,开放赎回,--,2016-10-18,0.9553,1.14%
120,,0.46%,1.0338,华润元大基金,华润元大润鑫债券,开放申购  ,3.30%,1.0330,jjpj,张俊杰,2.04,1.40%,1.77%,债券型,3418,开放赎回,--,2016-10-17,1.0330,3.04%
121,0.00%,0.32%,1.1384,富荣基金,富荣货币A,开放申购  ,4.77%,4.29%,jjpj,吕晓蓉,0.37,1.07%,2.07%,货币型,3467,开放赎回,--,2016-12-26,4.2200%,3.96%
122,0.00%,0.86%,1.0469,招商基金,招商招轩纯债C,开放申购  ,4.70%,1.0470,jjpj,向霈,0.00,1.98%,1.26%,债券型,3372,开放赎回,--,2016-10-26,1.0470,3.75%
123,,0.59%,1.0179,中加基金,中加丰泽纯债债券,限大额  ,6.18%,1.0610,jjpj,闫沛贤,9.97,1.70%,2.59%,债券型,3417,开放赎回,--,2016-12-16,1.0180,5.23%
124,0.08%,0.87%,1.1093,招商基金,招商招轩纯债A,开放申购  ,10.94%,1.1094,jjpj,向霈,5.39,2.02%,1.35%,债券型,3371,开放赎回,--,2016-10-26,1.1094,4.17%
